time, translated_id, translated_type, human time
1104485657,1,1, "Dec 31  2004 4:34:18 PM"
1104485658,1,0, "Dec 31  2004 4:34:18 PM"
1104487023,2,1, "Dec 31  2004 4:57:04 PM"
1104487024,2,0, "Dec 31  2004 4:57:04 PM"
1104496114,3,1, "Dec 31  2004 7:28:35 PM"
1104496115,3,0, "Dec 31  2004 7:28:35 PM"
1104562378,3,0, "Jan 1  2005 1:52:59 PM"
1104562379,3,1, "Jan 1  2005 1:52:59 PM"
1104562385,3,1, "Jan 1  2005 1:53:06 PM"
1104562386,3,0, "Jan 1  2005 1:53:06 PM"
1104562417,3,0, "Jan 1  2005 1:53:38 PM"
1104562418,3,1, "Jan 1  2005 1:53:38 PM"
1104564228,3,1, "Jan 1  2005 2:23:49 PM"
1104564229,3,0, "Jan 1  2005 2:23:49 PM"
1104564243,3,0, "Jan 1  2005 2:24:04 PM"
1104564244,3,1, "Jan 1  2005 2:24:04 PM"
1104596293,3,1, "Jan 1  2005 11:18:14 AM"
1104596294,3,0, "Jan 1  2005 11:18:14 AM"
1104596358,3,0, "Jan 1  2005 11:19:19 AM"
1104596359,3,1, "Jan 1  2005 11:19:19 AM"
1104596360,3,1, "Jan 1  2005 11:19:21 AM"
1104596361,3,0, "Jan 1  2005 11:19:21 AM"
1104597686,3,0, "Jan 1  2005 11:41:27 AM"
1104597687,3,1, "Jan 1  2005 11:41:27 AM"
1104597688,3,1, "Jan 1  2005 11:41:29 AM"
1104597689,3,0, "Jan 1  2005 11:41:29 AM"
1104597762,3,0, "Jan 1  2005 11:42:43 AM"
1104597763,3,1, "Jan 1  2005 11:42:43 AM"
1104597764,3,1, "Jan 1  2005 11:42:45 AM"
1104597765,3,0, "Jan 1  2005 11:42:45 AM"
1104597858,3,0, "Jan 1  2005 11:44:19 AM"
1104597859,3,1, "Jan 1  2005 11:44:19 AM"
1104598271,3,1, "Jan 1  2005 11:51:12 AM"
1104598272,3,0, "Jan 1  2005 11:51:12 AM"
1104598350,3,0, "Jan 1  2005 11:52:31 AM"
1104598351,3,1, "Jan 1  2005 11:52:31 AM"
